OBJECTID,CName,SName,Name,County,Shape__Area,Shape__Length
1,Quagga mussel,Dreissena bugensis,Irvine Lake,Orange,3187193.8125,17985.2630287726
2,Quagga mussel,Dreissena bugensis,Lake Poway,San Diego,352255.15625,3173.73462793209
3,Quagga mussel,Dreissena bugensis,Lake Mathews,Riverside,15657108.9453125,46068.5052158818
4,Quagga mussel,Dreissena bugensis,Dixon Reservoir,San Diego,355903.36328125,4107.65515326335
5,Quagga mussel,Dreissena bugensis,San Vicente Reservoir,San Diego,6292277.80078125,33634.1205936462
6,Quagga mussel,Dreissena bugensis,Lake Miramar,San Diego,835869.30078125,9323.27811626889
7,Quagga mussel,Dreissena bugensis,Lake Jennings,San Diego,755269.4609375,7928.88457475184
8,Quagga mussel,Dreissena bugensis,Murray Reservoir,San Diego,699237.796875,7759.39929399443
9,Quagga mussel,Dreissena bugensis,Sweetwater Reservoir,San Diego,4152242.6484375,18782.8491364435
10,Quagga mussel,Dreissena bugensis,Lower Otay Reservoir,San Diego,6216105.07421875,25846.4075793451
11,Zebra mussel,Dreissena polymorpha,San Justo Reservoir,San Benito,1376516.46484375,9663.89127522203
12,Quagga mussel,Dreissena bugensis,Lake Havasu,San Bernardino,90963240.7226563,293389.78698046
13,Quagga mussel,Dreissena bugensis,El Capitan Reservoir,San Diego,8641015.22265625,44075.7032022547
14,Quagga mussel,Dreissena bugensis,Skinner Reservoir,Riverside,4625481.51171875,19313.5449625764
15,Quagga mussel,Dreissena bugensis,Lake Ramona,San Diego,349243.01953125,3935.97441571241
16,Quagga mussel,Dreissena bugensis,Olivenhain Reservoir,San Diego,1071783.28125,5991.5220119099
17,Quagga mussel,Dreissena bugensis,Lake Piru,Ventura,7288711.30859375,36074.3566063
18,Quagga mussel,Dreissena bugensis,Rattlesnake Reservoir,Orange,205152.74609375,2380.30826955328
19,Quagga mussel,Dreissena bugensis,Anaheim Lake,Orange,422199.1171875,3891.21395860246
20,Quagga mussel,Dreissena bugensis,Walnut Canyon Reservoir,Orange,228584.98828125,2805.43761091967
21,Quagga mussel,Dreissena bugensis,Lake Cahuilla,Riverside,798976.546875,4983.24655106303
22,Quagga mussel,Dreissena bugensis,Copper Basin Reservoir,San Bernardino,2411320.9765625,12582.701118842
23,Quagga mussel,Dreissena bugensis,Black and Gold Golf Course Pond,Orange,3321.3125,207.995989247239
24,Quagga mussel,Dreissena bugensis,Lake Forest Keys - Lake Forest 2,Orange,220417.953125,5233.09698894748
25,Quagga mussel,Dreissena bugensis,Lake Forest 1,Orange,74795.515625,2060.34779762184
26,Quagga mussel,Dreissena bugensis,Shadow Lake,Riverside,231622.89453125,3150.89278722222
27,Quagga mussel,Dreissena bugensis,Piru Creek below Santa Felicia Dam,Ventura,1286164.37890625,23362.301370153
28,Quagga mussel,Dreissena bugensis,Colorado River,Multiple,278866702.8125,1257261.99021936
29,Quagga mussel,Dreissena bugensis,Coachella Canal,Multiple,26005190.453125,474887.548509325
30,Quagga mussel,Dreissena bugensis,Colorado River Aqueduct,Multiple,51776500.9335938,937469.355174371
31,Quagga mussel,Dreissena bugensis,Pyramid Lake,Los Angeles,7059370.75,39016.043556408
32,Quagga mussel,Dreissena bugensis,Elderberry Forebay,Los Angeles,2286138.5078125,13828.1992480605
33,Quagga mussel,Dreissena bugensis,Santa Clara River,Multiple,17995226.4023438,323787.815931102
34,Quagga mussel,Dreissena bugensis,San Gabriel River,Multiple,8184606.953125,148517.90176847
35,Zebra mussel,Dreissena polymorpha,Pump at Ridgemark Golf Course,Szn Benito,8059.34765625,353.869171553576
36,Quagga mussel,Dreissena bugensis,Kraemer Basin,Orange,72371.70703125,1421.13008241788
